নাম/পদবী,সম্ভাব্য ধর্ম
নিয়াজুদ্দিন,মুসলমান
শহিমুদ্দিন,মুসলমান
আমেজুদ্দীন,মুসলমান
তনুরুদ্দীন,মুসলমান
দেল্লোদ্দিন,মুসলমান
ছবুরুদ্দিন,মুসলমান
সৈনুউদ্দিন,মুসলমান
নকিমুদ্দিন,মুসলমান
কাজুমুদ্দিন,মুসলমান
সফেজুদ্দিন,মুসলমান
রহিমউদ্দিন,মুসলমান
আছুরুদ্দিন,মুসলমান
সাইজ্জুদ্দিন,মুসলমান
মহরউদ্দিন,মুসলমান
সকুমুদ্দিন,মুসলমান
রুফাজুদ্দিন,মুসলমান
তজিমুদ্দিন,মুসলমান
শাবউদ্দিন,মুসলমান
সাহামুদ্দিন,মুসলমান
তনুরুদ্দিন,মুসলমান
তায়জুদ্দিন,মুসলমান
ননুমুদ্দিন,মুসলমান
আহানুদ্দিন,মুসলমান
জকুলুদ্দিন,মুসলমান
সইজুদ্দিন,মুসলমান
তাজিমুদ্দিন,মুসলমান
কন্টুমুদ্দিন,মুসলমান
আয়নুদ্দিন,মুসলমান
আমিজুদ্দিন,মুসলমান
নাজুমুদ্দিন,মুসলমান
কিয়ামদ্দিন,মুসলমান
রাইসউদ্দিন,মুসলমান
মেজবাউদ্দীন,মুসলমান
সিফাতউল্লাহ,মুসলমান
মাহিনুজ্জামান,মুসলমান
আশাবুদ্দিন,মুসলমান
ছহলদ্দীন,মুসলমান
আকামদ্দিন,মুসলমান
জদ্দিন,মুসলমান
ফকুরদ্দিন,মুসলমান
আয়েতুউল্লা,মুসলমান
আলিমউদ্দিন,মুসলমান
কালিমদ্দিন,মুসলমান
শাহবউদ্দিন,মুসলমান
শিহাবউদ্দিন,মুসলমান
ওয়াহেদুজ্জামান,মুসলমান
আয়নদ্দিন,মুসলমান
মহিউদ্দিনঙ,মুসলমান
মুহিউদ্দিন,মুসলমান
আয়জদ্দিন,মুসলমান
নুরেজান্নাত,মুসলমান
ফইজউদ্দিন,মুসলমান
আমিনদ্দিন,মুসলমান
মহিনুদ্দিন,মুসলমান
ওহিউদ্দিন,মুসলমান
মোসলেউদ্দীন,মুসলমান
ফখরুউদ্দিন,মুসলমান
আফছারউদ্দিন,মুসলমান
ছৈনদ্দিন,মুসলমান
বানিজদ্দিন,মুসলমান
ছৈরুদ্দিন,মুসলমান
ফখরউদ্দিন,মুসলমান
আজিরুদ্দিন,মুসলমান
ছৈমদ্দীন,মুসলমান
ফুলরউদ্দিন,মুসলমান
আমজদ্দিন,মুসলমান
নুকুজ্জামান,মুসলমান
সমজদ্দিন,মুসলমান
জরিফদ্দিন,মুসলমান
মোরাদজ্জামান,মুসলমান
জিলেপদ্দিন,মুসলমান
জয়নুদ্দীন,মুসলমান
আছাদ্দুজ্জামান,মুসলমান
ফুলদ্দিন,মুসলমান
আলউদ্দিন,মুসলমান
জিয়াউদ্দীন,মুসলমান
হাছানোজ্জামান,মুসলমান
সনুরুদ্দিন,মুসলমান
মুরাজ্জামান,মুসলমান
মিয়াদুজ্জামান,মুসলমান
দৌলুতুজ্জামান,মুসলমান
ছাইরদ্দিন,মুসলমান
জৈয়মদ্দিন,মুসলমান
আইবদ্দিন,মুসলমান
অজুদ্দিন,মুসলমান
কুসুমউদ্দিন,মুসলমান
সুলতানারা,মুসলমান
সহিদুজ্জামান,মুসলমান
নৈমুদ্দীন,মুসলমান
আকাবুদ্দিন,মুসলমান
হাবিরুদ্দিন,মুসলমান
বসিরউদ্দিন,মুসলমান
ময়জউদ্দিন,মুসলমান
তহুরুদ্দিন,মুসলমান
মইজউদ্দিন,মুসলমান
কফিলউদ্দিন,মুসলমান
শাহামদ্দিন,মুসলমান
কসুমদ্দিন,মুসলমান
শহিদুজ্জামান,মুসলমান
আহসানউল্লা,মুসলমান
শহরদ্দিন,মুসলমান
মহুরদ্দিন,মুসলমান
আকছরদ্দিন,মুসলমান
ইছমদ্দীন,মুসলমান
হায়াতুজ্জামান,মুসলমান
তাইজুউদ্দীন,মুসলমান
চৌদ্দিন,মুসলমান
শামসউদ্দিন,মুসলমান
ছামছদ্দিন,মুসলমান
জয়েনদ্দীন,মুসলমান
নকিমদ্দিন,মুসলমান
ছয়মদ্দিন,মুসলমান
নমরদ্দিন,মুসলমান
মিয়ারুদ্দীন,মুসলমান
ছবরদ্দীন,মুসলমান
অয়জদ্দিন,মুসলমান
বয়জদ্দিন,মুসলমান
আজামদ্দিন,মুসলমান
ইছামদ্দিন,মুসলমান
নজোমদ্দিন,মুসলমান
মনরুদ্দীন,মুসলমান
নছুমদ্দিন,মুসলমান
নাদিরুজ্জামান,মুসলমান
ছহিমদ্দিন,মুসলমান
জরিমদ্দিন,মুসলমান
সয়েদজ্জামান,মুসলমান
মুজিবুদ্দিন,মুসলমান
সমেজউদ্দিন,মুসলমান
তমজদ্দিন,মুসলমান
নোয়াবুদ্দিন,মুসলমান
খাতিমুদ্দিন,মুসলমান
কছুরুদ্দিন,মুসলমান
ইউসুবুদ্দিন,মুসলমান
দলিমতদ্দীন,মুসলমান
ফাইমতদ্দীন,মুসলমান
মোহামদ্দীন,মুসলমান
কুশুমউদ্দীন,মুসলমান
পয়ইনদ্দীন,মুসলমান
হিসাবুদ্দীন,মুসলমান
কাইমতদ্দীন,মুসলমান
তৈমতদ্দীন,মুসলমান
সহমদ্দীন,মুসলমান
সমিরউদ্দীন,মুসলমান
নাশিরউদ্দীন,মুসলমান
খসমদ্দীন,মুসলমান
রহিমউদ্দীন,মুসলমান
আমিজদ্দীন,মুসলমান
সফিরউদ্দীন,মুসলমান
মকিমউদ্দীন,মুসলমান
হাবিলউদ্দিন,মুসলমান
ছামছোউদ্দীন,মুসলমান
বইজউদ্দীন,মুসলমান
খতিবুদ্দীন,মুসলমান
সইমদ্দীন,মুসলমান
অনিজদ্দীন,মুসলমান
খতিমদ্দিন,মুসলমান
তজিমদ্দীন,মুসলমান
কাজিমদ্দীন,মুসলমান
তুকাতজ্জামান,মুসলমান
ছুরুনদ্দিন,মুসলমান
নখমুদ্দিন,মুসলমান
ছকমুদ্দিন,মুসলমান
সাদেকুজ্জামান,মুসলমান
দবিরদ্দিন,মুসলমান
তহুজদ্দিন,মুসলমান
নাবারুদ্দিন,মুসলমান
ইয়ামুদ্দীন,মুসলমান
কোছিমুদ্দিন,মুসলমান
তফিজুদ্দিন,মুসলমান
নকমুদ্দিন,মুসলমান
আহিমদ্দীন,মুসলমান
মজমুদ্দিন,মুসলমান
আচুমুদ্দীন,মুসলমান
তয়জুদ্দিন,মুসলমান
কপিলদ্দিন,মুসলমান
সহিমদ্দিন,মুসলমান
মজিরদ্দীন,মুসলমান
সামসদ্দিন,মুসলমান
বদিওজ্জামান,মুসলমান
জসিরদ্দীন,মুসলমান
খয়রুদ্দিন,মুসলমান
পৈমুদ্দিন,মুসলমান
মিয়ারোদ্দীন,মুসলমান
নেজামদ্দীন,মুসলমান
সজিমদ্দিন,মুসলমান
হাকিমউদ্দীন,মুসলমান
শুকুরউল্লা,মুসলমান
ফইমদ্দীন,মুসলমান
কামিজউদ্দীন,মুসলমান
রিয়াজউদ্দীন,মুসলমান
নজিমদ্দীন,মুসলমান
আমিজদ্দিন,মুসলমান
সামসউদ্দীন,মুসলমান
জুমারদ্দিন,মুসলমান
সপিজদ্দীন,মুসলমান
নবদ্দিন,মুসলমান
জয়নদ্দীন,মুসলমান
আহাবুদ্দিন,মুসলমান
নছিবুদ্দিন,মুসলমান
হাফিজুউল্লা,মুসলমান
নসিমুদ্দীন,মুসলমান
মনিউজ্জামান,মুসলমান
আফরুদ্দীন,মুসলমান
ছকিমুদ্দীন,মুসলমান
মুহদ্দীন,মুসলমান
জলিমুদ্দিন,মুসলমান
শুকুরুদ্দিন,মুসলমান
আজুমুদ্দিন,মুসলমান
নেজামুদ্দীন,মুসলমান
সেরাজুদ্দিন,মুসলমান
আলউদ্দীন,মুসলমান
সোনারুদ্দিন,মুসলমান
কসিমুদ্দিন,মুসলমান
শাহামুদ্দিন,মুসলমান
শুকুরুদ্দীন,মুসলমান
আয়েশুদ্দিন,মুসলমান
গিয়াসুদ্দীন,মুসলমান
ফেলুরুদ্দীন,মুসলমান
কালুমুদ্দিন,মুসলমান
কালুমুদ্দীন,মুসলমান
রইসুদ্দীন,মুসলমান
শুকুদ্দীন,মুসলমান
গিয়াসউদ্দীন,মুসলমান
জেসুমুদ্দিন,মুসলমান
সাদরুজ্জামান,মুসলমান
ভোঙ্গরুদ্দীন,মুসলমান
আকিমুদ্দীন,মুসলমান
সানাউল্লা,মুসলমান
জহিরুদ্দীন,মুসলমান
মাফিজুদ্দিন,মুসলমান
কাছিমুদ্দিন,মুসলমান
ছুকুমদ্দীন,মুসলমান
রফিকউদ্দীন,মুসলমান
জিহাদুজ্জামান,মুসলমান
শাহিদুজ্জামান,মুসলমান
শামশুদ্দীন,মুসলমান
মফিজুদ্দীন,মুসলমান
তচ্ছদ্দিন,মুসলমান
ফাইজুদ্দীন,মুসলমান
তহিদুজ্জামান,মুসলমান
মোসলেমুদ্দিন,মুসলমান
বোদ্দিনাথ,মুসলমান
শুকুদ্দিন,মুসলমান
সহিমুদ্দীন,মুসলমান
বদ্দীনাথ,মুসলমান
জয়মদ্দীন,মুসলমান
লইমদ্দীন,মুসলমান
সাকিনুজ্জামান,মুসলমান
আফাজউদ্দীন,মুসলমান
লইমুদ্দীন,মুসলমান
ছাইমুদ্দীন,মুসলমান
অছিমুদ্দীন,মুসলমান
সখিমুদ্দীন,মুসলমান
কায়মুদ্দীন,মুসলমান
একামুদ্দীন,মুসলমান
আইরুদ্দিন,মুসলমান
হাইতুল্লাহ,মুসলমান
হাছিমদ্দিন,মুসলমান
সৈজ্জামান,মুসলমান
ইরাদুজ্জামান,মুসলমান
তমজ্জদ্দিন,মুসলমান
নূরেজান্নাতী,মুসলমান
মাহিদুজ্জামান,মুসলমান
নজিরুদ্দীন,মুসলমান
মেরাজুদ্দিন,মুসলমান
তমিজুদ্দিন,মুসলমান
বুদ্দীনাথ,মুসলমান
ছুরুজ্জামান,মুসলমান
রাফিউজ্জামান,মুসলমান
সুজাউদ্দীন,মুসলমান
সাজুদ্দিন,মুসলমান
সাইনুদ্দিন,মুসলমান
ছায়রদ্দিন,মুসলমান
ফকরুজ্জামান,মুসলমান
সাহেবুদ্দিন,মুসলমান
ফরিদুজ্জামান,মুসলমান
সায়দুল্লাহ,মুসলমান
আজিরুদ্দীন,মুসলমান
সাবুদ্দিন,মুসলমান
রহীমুদ্দিন,মুসলমান
জামিরুদ্দিন,মুসলমান
সামছুজ্জামান,মুসলমান
ছফাউদ্দিন,মুসলমান
শফিউজ্জামান,মুসলমান
এরশাদুজ্জামান,মুসলমান
চিও,হিন্দু
লক্ষী,হিন্দু
লক্ষ্মী,হিন্দু
কৃষ্ণপদ,হিন্দু
নারায়ন,হিন্দু
নারায়ণ,হিন্দু
বিষ্ণুপদ,হিন্দু
মহাদেব,হিন্দু
সনাতন,হিন্দু
শম্ভু,হিন্দু
নিরঞ্জন,হিন্দু
গোবিন্দ,হিন্দু
রামকৃষ্ণ,হিন্দু
শিবপদ,হিন্দু
হরিপদ,হিন্দু
দুর্গা,হিন্দু
পার্বতী,হিন্দু
গণেশ,হিন্দু
শঙ্কর,হিন্দু
বাসুদেব,হিন্দু
জগন্নাথ,হিন্দু
রাধা,হিন্দু
সীতা,হিন্দু
ভগবান,হিন্দু
ঈশ্বর,হিন্দু
শিবু,হিন্দু
মহেশ,হিন্দু
রামচন্দ্র,হিন্দু
গৌরাঙ্গ,হিন্দু
নিত্যানন্দ,হিন্দু
ব্রজেন,হিন্দু
সুধাংশু,হিন্দু
দ্বিজেন,হিন্দু
ভবানী,হিন্দু
কালীপদ,হিন্দু
অমরেন্দ্র,হিন্দু
যোগেন্দ্র,হিন্দু
মহেন্দ্র,হিন্দু
নরেন্দ্র,হিন্দু
ধীরেন্দ্র,হিন্দু
বীরেন্দ্র,হিন্দু
সুরেন্দ্র,হিন্দু
বানু,মুসলমান-দুর্বল
জান,মুসলমান-দুর্বল
হেলেনা,মুসলমান-দুর্বল
রাজীব,মুসলমান-দুর্বল
শাহ,মুসলমান-দুর্বল
গনেশ,হিন্দু
শংকর,হিন্দু
বিশ্বনাথ,হিন্দু
নিতাই,হিন্দু
রমেশ,হিন্দু
সুরেশ,হিন্দু
নরেশ,হিন্দু
পরেশ,হিন্দু
সুধীর,হিন্দু
সন্তোষ,হিন্দু
মনোরঞ্জন,হিন্দু
পরিমল,হিন্দু
নির্মল,হিন্দু
শ্যামল,হিন্দু
প্রদীপ,হিন্দু
সুনীল,হিন্দু
অনিল,হিন্দু
বিমল,হিন্দু
মন্টু,হিন্দু
মঙ্গল,হিন্দু
লক্ষন,হিন্দু
ভীম,হিন্দু
মোহন,হিন্দু
প্রসাদ,হিন্দু
রঞ্জন,হিন্দু
চরন,হিন্দু
কাতির্ক,হিন্দু
কার্তিক,হিন্দু
বাদল,হিন্দু
নয়ন,হিন্দু
অঞ্জলী,হিন্দু
অঞ্জলি,হিন্দু
অঞ্জনা,হিন্দু
অনিতা,হিন্দু
সবিতা,হিন্দু
সাবিত্রী,হিন্দু
মালতী,হিন্দু
মালতি,হিন্দু
গীতা,হিন্দু
আরতী,হিন্দু
আরতি,হিন্দু
বাসন্তী,হিন্দু
বাসন্তি,হিন্দু
বিমলা,হিন্দু
ভারতী,হিন্দু
দিপালী,হিন্দু
প্রমিলা,হিন্দু
মিনতি,হিন্দু
নমিতা,হিন্দু
ঝর্না,হিন্দু
সন্ধ্যা,হিন্দু
শ্যামলী,হিন্দু
মনিকা,হিন্দু
পুষ্প,হিন্দু
সুন্দরী,হিন্দু
দুলালী,হিন্দু
কুমারী,হিন্দু
শিখা,হিন্দু
লতা,হিন্দু
নমশূদ্র,হিন্দু
নমশুদ্র,হিন্দু
ক্ষত্রিয়,হিন্দু
ব্রহ্ম,হিন্দু
পন্ডিত,হিন্দু
মালাকর,হিন্দু
শাখারী,হিন্দু
মিস্ত্রি,হিন্দু
কয়াল,হিন্দু
সমাজপতি,হিন্দু
প্রজাপতি,হিন্দু
ডোম,হিন্দু
করাতী,হিন্দু
বারই,হিন্দু
পাড়ৈ,হিন্দু
মিশ্র,হিন্দু
সন্নযাসী,হিন্দু
ঋষী,হিন্দু
হাজারী,হিন্দু
বাকালী,হিন্দু
কেউট,হিন্দু
চক্র,হিন্দু
শাহা,হিন্দু
পাড়ে,হিন্দু
তেলেঙ্গা,আদিবাসী
রাউতিয়া,আদিবাসী
মান্দ্রাজী,আদিবাসী
মাদ্রাজী,আদিবাসী
তুরিয়া,আদিবাসী
পানিকা,আদিবাসী
কুরি,আদিবাসী
কুরী,আদিবাসী
কুইয়া,আদিবাসী
তন্তবাই,আদিবাসী
বাকতী,আদিবাসী
মান্দা,আদিবাসী
রংদী,আদিবাসী
ভাবুক,আদিবাসী
খয়রা,আদিবাসী
গোড়,আদিবাসী
ফুলমনি,আদিবাসী
সিদ্ধা,আদিবাসী
মেরী,খ্রিস্টান
ডায়েস,খ্রিস্টান
বুনাজির,খ্রিস্টান
বোনাজির,খ্রিস্টান
বুনারজী,খ্রিস্টান
লিলি,খ্রিস্টান
রনজিত,হিন্দু
রঞ্জিত,হিন্দু
সুবল,হিন্দু
মহন,হিন্দু
আদিত্য,হিন্দু
দিলীপ,হিন্দু
ধীরেন,হিন্দু
তপন,হিন্দু
অরুন,হিন্দু
অরুণ,হিন্দু
মতিলাল,হিন্দু
মহান্ত,হিন্দু
রুদ্রপাল,হিন্দু
সূর্য,হিন্দু
বিজয়,হিন্দু
কাঞ্চন,হিন্দু
সুশান্ত,হিন্দু
সুব্রত,হিন্দু
দেবাশীষ,হিন্দু
দেবাশিস,হিন্দু
বিশ্বজিৎ,হিন্দু
সুজিত,হিন্দু
অজিত,হিন্দু
উত্তম,হিন্দু
প্রশান্ত,হিন্দু
নিখিল,হিন্দু
বিকাশ,হিন্দু
সঞ্জিত,হিন্দু
বিপ্লব,হিন্দু
পলাশ,হিন্দু
অমল,হিন্দু
নিরোদ,হিন্দু
কালিপদ,হিন্দু
হরিদাস,হিন্দু
যোগেশ,হিন্দু
মহেশ্বর,হিন্দু
দীনেশ,হিন্দু
রাজেন,হিন্দু
নরেন,হিন্দু
সুরেন,হিন্দু
ভবেন,হিন্দু
ক্ষিরোদ,হিন্দু
পরিতোষ,হিন্দু
জয়দেব,হিন্দু
প্রফুল্ল,হিন্দু
বিধান,হিন্দু
বিধু,হিন্দু
নিমাই,হিন্দু
গৌর,হিন্দু
হরেন,হিন্দু
শৈলেন,হিন্দু
যমুনা,হিন্দু
ললিতা,হিন্দু
মল্লিকা,হিন্দু
জয়ন্তী,হিন্দু
কুসুম,হিন্দু
সুচিত্রা,হিন্দু
অর্চনা,হিন্দু
চন্দনা,হিন্দু
প্রতিমা,হিন্দু
কণিকা,হিন্দু
শিপ্রা,হিন্দু
তপতী,হিন্দু
অনিমা,হিন্দু
রেণুকা,হিন্দু
বীণা,হিন্দু
মঞ্জুরানী,হিন্দু
সরলা,হিন্দু
উষা,হিন্দু
পার্বতি,হিন্দু
সাধনা,হিন্দু
করুণা,হিন্দু
মিনতী,হিন্দু
সুলতা,হিন্দু
বনলতা,হিন্দু
কল্যাণী,হিন্দু
জোৎস্না,হিন্দু
শোভা,হিন্দু
মাধুরী,হিন্দু
সুপ্রিয়া,হিন্দু
দীপ্তি,হিন্দু
স্মৃতি,হিন্দু
অপর্ণা,হিন্দু
মৈত্রী,হিন্দু
সুমতি,হিন্দু
বেলা,হিন্দু
পদ,হিন্দু
প্রসন্ন,হিন্দু
বিহারী,হিন্দু
ভূষণ,হিন্দু
মোহান্ত,হিন্দু
ঠাকুরাইন,হিন্দু
তংচঙ্গ্যা,আদিবাসী
তিরকী,আদিবাসী
সিমসাং,আদিবাসী
রাকসাম,আদিবাসী
আরেং,আদিবাসী
মিনজী,আদিবাসী
মাহাত,আদিবাসী
টপ্পয,আদিবাসী
মহলী,আদিবাসী
ম্মোং,আদিবাসী
রিখমুন,আদিবাসী
পিনারু,আদিবাসী
বান,আদিবাসী
অং,আদিবাসী
তং,আদিবাসী
হাং,আদিবাসী
মারিয়া,খ্রিস্টান
গোনছালবেছ,খ্রিস্টান
পিরিচ,খ্রিস্টান
ডি,খ্রিস্টান
রেহেনা,মুসলমান
সুশীল,হিন্দু
পিয়ারা,মুসলমান
রিজিয়া,মুসলমান
শামীম,মুসলমান-দুর্বল
রোকিয়া,মুসলমান
বানেছা,মুসলমান
ফুলবানু,মুসলমান
রেহানা,মুসলমান
আলি,মুসলমান
আকন্দ,মুসলমান-দুর্বল
লতিফ,মুসলমান-দুর্বল
চঁান,মুসলমান-দুর্বল
বারিকদার,হিন্দু
জাহেদা,মুসলমান
কোহিনুর,মুসলমান
মজিরন,মুসলমান-দুর্বল
রমজান,মুসলমান
তহমিনা,মুসলমান
ইয়াছিন,মুসলমান
বাদশা,মুসলমান
পাটোয়ারী,মুসলমান-দুর্বল
মোশারফ,মুসলমান
লতিফা,মুসলমান
জালাল,মুসলমান
মমেনা,মুসলমান
দফাদার,হিন্দু
ছামাদ,মুসলমান
বেবী,মুসলমান-দুর্বল
নাছরিন,মুসলমান
রুবিয়া,মুসলমান
মেহের,মুসলমান
শরিফ,মুসলমান
মিতু,মুসলমান-দুর্বল
জোবেদা,মুসলমান
বারেক,মুসলমান
মায়া,হিন্দু
খালাসী,মুসলমান-দুর্বল
রেবেকা,খ্রিস্টান
লিমা,মুসলমান-দুর্বল
মেরিনা,মুসলমান-দুর্বল
সুঙ,আদিবাসী
জায়েদা,মুসলমান
রাজিব,মুসলমান-দুর্বল
মতিন,মুসলমান-দুর্বল
হাফিজা,মুসলমান
ভুঁইয়া,মুসলমান-দুর্বল
মিন্টু,মুসলমান-দুর্বল
রুমি,মুসলমান-দুর্বল
বাহাদুর,মুসলমান
বাহার,মুসলমান
পপি,মুসলমান-দুর্বল
কাশেম,মুসলমান
বীন,আদিবাসী
পলি,মুসলমান-দুর্বল
আবেদা,মুসলমান
প্যাদা,আদিবাসী
মরজিনা,মুসলমান
জাহেরা,মুসলমান
মামুদ,মুসলমান
রাজ,হিন্দু
মোবারক,মুসলমান
মোজাম্মেল,মুসলমান
মারুফা,মুসলমান
শরিফুল,মুসলমান
মমিন,মুসলমান-দুর্বল
শাজাহান,মুসলমান
দেলোয়ারা,মুসলমান
মির্ধা,মুসলমান-দুর্বল
নংমিন,আদিবাসী
মদিনা,মুসলমান
কদবানু,মুসলমান
লোকমান,মুসলমান
গফুর,মুসলমান
দারিং,আদিবাসী
মারান্ডী,আদিবাসী
জব্বার,মুসলমান
মোরশেদা,মুসলমান
শহিদ,মুসলমান
জামিলা,মুসলমান
মাবিয়া,মুসলমান-দুর্বল
দোষাদ,আদিবাসী
খলিল,মুসলমান
মজনু,মুসলমান
দালবৎ,আদিবাসী
ফুলমালী,আদিবাসী
বড়ূয়া,বড়ুয়া
তুরী,হিন্দু
বেনবংশী,আদিবাসী
বঁাশফোড়,আদিবাসী
দেবশর্মা,হিন্দু
মুস্পি,মুসলমান
লায়েক,মুসলমান-দুর্বল
শাহানারা,মুসলমান
মরমু,হিন্দু
আরিন্দা,আদিবাসী
চোকদার,মুসলমান-দুর্বল
শিল,হিন্দু
মোড়া,আদিবাসী
নুরবানু,মুসলমান
ছৈয়াল,মুসলমান
মিঞ্জ,আদিবাসী
মাখাল,হিন্দু
বাসফর,আদিবাসী
আজিরন,মুসলমান-দুর্বল
লায়লা,মুসলমান
নমসুদ্র,হিন্দু
ধার,হিন্দু
বর্মনী,হিন্দু
মালাহা,আদিবাসী
জোয়াদ্দার,মুসলমান-দুর্বল
ফজলু,মুসলমান
জুলহাস,মুসলমান
জামিরন,মুসলমান
আরজু,মুসলমান-দুর্বল
পতাম,আদিবাসী
গনজু,আদিবাসী
জোয়ার্দ্দার,হিন্দু
ওয়ান,আদিবাসী
মোতালিব,মুসলমান
টপ্প,আদিবাসী
আমিরন,মুসলমান
মাংসাং,আদিবাসী
প্রাং,আদিবাসী
কারিমা,মুসলমান
তাহেরা,মুসলমান
চৌধূরী,হিন্দু
বাচ্চু,মুসলমান
সেতারা,মুসলমান
মুরারী,হিন্দু
শুভকার,হিন্দু
কুদ্দুস,মুসলমান
মাফুজা,মুসলমান
শাবানা,মুসলমান
মালি,হিন্দু
চিন্তাপাত্র,হিন্দু
জয়ঙ্গন,হিন্দু
গয়াসুর,আদিবাসী
বাছিরন,মুসলমান
আজাহার,মুসলমান
হামেদা,মুসলমান
করিমন,মুসলমান
তোফাজ্জল,মুসলমান
রাজবল্লভ,হিন্দু
ঙ্গড়িয়া,হিন্দু
লুৎফা,মুসলমান
রংমা,আদিবাসী
রাও,হিন্দু
রিকমনি,আদিবাসী
হাই,মুসলমান-দুর্বল
জমাদ্দার,মুসলমান-দুর্বল
তঞ্চগ্যা,আদিবাসী
মারডী,আদিবাসী
জহিরুল,মুসলমান
নুরনাহার,মুসলমান
সহিদ,মুসলমান
কাইয়ুম,মুসলমান
বাক্তী,আদিবাসী
রিচিল,আদিবাসী
আঞ্জুয়ারা,মুসলমান-দুর্বল
খুদেজা,মুসলমান
তাসা,আদিবাসী
গেঁাড়,হিন্দু
বারাইক,আদিবাসী
খোরশেদ,মুসলমান
এরশাদ,মুসলমান
খোরশেদা,মুসলমান
সূতার,হিন্দু
আয়নাল,মুসলমান
ফিরুজা,মুসলমান
বনোয়ারী,আদিবাসী
জেলেখা,মুসলমান
হাজদা,আদিবাসী
পাঠান,মুসলমান
নাছির,মুসলমান
মমিনা,মুসলমান
মাহিনুর,মুসলমান
মহসিন,মুসলমান
বঁাশফোর,হিন্দু
পরামানিক,মুসলমান-দুর্বল
মেহেরুন,মুসলমান
জামিনা,মুসলমান
মন্নান,মুসলমান
ইয়ানুর,মুসলমান
জুবেদা,মুসলমান
পাইনকা,আদিবাসী
মুশির্দা,মুসলমান
দাশঙ্গপ্ত,হিন্দু
নবী,মুসলমান
জোলেখা,মুসলমান
কাউছার,মুসলমান
রড্রিক,খ্রিস্টান
হাউই,আদিবাসী
ডিখার,আদিবাসী
আমজাদ,মুসলমান
জহির,মুসলমান
আমিনুর,মুসলমান
আলিম,মুসলমান
বাতেন,মুসলমান-দুর্বল
তিরকি,আদিবাসী
কালেন্দী,হিন্দু
মানছুরা,মুসলমান
আনারুল,মুসলমান
আনোরা,মুসলমান
জয়গন,হিন্দু
আনজু,মুসলমান
পাংখুয়া,আদিবাসী
পাথাং,আদিবাসী
ভট্রাচার্য,হিন্দু
গোলেনুর,মুসলমান-দুর্বল
গ্রেগরী,খ্রিস্টান
হানিফা,মুসলমান
তঞ্চঙ্গা,আদিবাসী
শাওতাল,আদিবাসী
শহীদ,মুসলমান
আমির,মুসলমান
ইলিয়াছ,মুসলমান
আহামদ,মুসলমান
মেথর,হিন্দু
ছালেমা,মুসলমান
সহিদা,মুসলমান
মাছুমা,মুসলমান
বেল্লাল,মুসলমান
নেহার,মুসলমান
হাফেজা,মুসলমান
খতেজা,মুসলমান
দাংগ,আদিবাসী
লস্কার,হিন্দু
জহুরুল,মুসলমান-দুর্বল
জিয়ারুল,মুসলমান
মাহামুদা,মুসলমান
দেশাই,হিন্দু
আইরিন,মুসলমান
পারিয়াল,হিন্দু
থান্দার,হিন্দু
মাহাবুব,মুসলমান
হাসেম,মুসলমান
রুকিয়া,মুসলমান
শরীফা,মুসলমান
ছবুরা,মুসলমান
শারমীন,মুসলমান
গঁড়,আদিবাসী
ভুমিক,হিন্দু
জর্দ্দার,হিন্দু
আলীম,মুসলমান
শফিক,মুসলমান
জোয়ারদার,হিন্দু
হোছাইন,মুসলমান
ফজিলত,মুসলমান
নুনীয়া,আদিবাসী
সাহানী,হিন্দু
নাদিরা,মুসলমান
ফিনি,আদিবাসী
ঘাসি,আদিবাসী
গেঁৗড়,হিন্দু
ফতেমা,মুসলমান
ওয়াসিম,মুসলমান
রাই,হিন্দু
দেউড়ী,আদিবাসী
পঃতাম,আদিবাসী
রাজকুমার,হিন্দু
শাহীনুর,মুসলমান-দুর্বল
ছামিরন,মুসলমান
বারিক,মুসলমান
আলিয়া,মুসলমান
তংচংঙ্গ্যা,আদিবাসী
হাওয়ালদার,হিন্দু
লাক্সমী,হিন্দু
পলং,আদিবাসী
ছফুরা,মুসলমান
তংপের,আদিবাসী
টংপের,আদিবাসী
ঝড়া,আদিবাসী
আছিরন,মুসলমান
আফজাল,মুসলমান
তছিরন,মুসলমান
নাহা,হিন্দু
জাফর,মুসলমান
নাটুয়া,আদিবাসী
রৌশনারা,মুসলমান
শাফিয়া,মুসলমান
মাছুম,মুসলমান
কুন্দা,আদিবাসী
সূএধর,হিন্দু
তংঞ্চঙ্গ্যা,আদিবাসী
ইন্দোয়ার,আদিবাসী
নংরুম,আদিবাসী
রাজবল্লব,হিন্দু
বড়াইক,আদিবাসী
রাউত,আদিবাসী
রব,মুসলমান
মফিজ,মুসলমান
এমরান,মুসলমান
আনুয়ারা,মুসলমান-দুর্বল
বাছেদ,মুসলমান
সাহাজী,হিন্দু
কদ্দুছ,মুসলমান
ন্নেছা,মুসলমান
কুহিনুর,মুসলমান-দুর্বল
দেশওয়ারা,মুসলমান-দুর্বল
তালাং,আদিবাসী
মোল্লযা,মুসলমান
মোফাজ্জল,মুসলমান
হেকিম,মুসলমান
জয়তন,হিন্দু
মারলিয়া,খ্রিস্টান
নিজাম,মুসলমান
কমর্কার,হিন্দু
সন্যাসী,হিন্দু
রহিমন,মুসলমান
শাহেদা,মুসলমান
মকবুল,মুসলমান
জয়,হিন্দু
তারাবানু,মুসলমান
মেহেরজান,মুসলমান
আমিরুল,মুসলমান
ছানোয়ারা,মুসলমান-দুর্বল
